,ARID,ORID,PHASE,STA,ATIME,TIMEDEF,LAT,LON,DEPTH,OTIME
313,59098077,6329827,P,GEYT,2010135,d,3.7190925,128.04432,99.516687,2010135
314,59098087,6329827,P,KSRS,2010135,d,3.7190925,128.04432,99.516687,2010135
315,59098088,6329827,tx,KSRS,2010135,n,-32.759974,-178.33561,0.0,2010135
316,59098090,6329827,P,STKA,2010135,d,3.7190925,128.04432,99.516687,2010135
317,59098105,6329827,P,ASAR,2010135,d,3.7190925,128.04432,99.516687,2010135
318,59098128,6329827,P,ZALV,2010135,d,3.7190925,128.04432,99.516687,2010135
319,59098159,6329827,P,MJAR,2010135,d,3.7190925,128.04432,99.516687,2010135
320,59098178,6329827,P,MKAR,2010135,d,3.7190925,128.04432,99.516687,2010135
321,59098186,6329827,P,PETK,2010135,d,3.7190925,128.04432,99.516687,2010135
322,59098211,6329827,P,FINES,2010135,d,3.7190925,128.04432,99.516687,2010135
323,59098215,6329827,P,WRA,2010135,d,3.7190925,128.04432,99.516687,2010135
