ORID,LAT,LON,DEPTH,ORIGIN,EVID,MB,MS,ML,ARID,PHASE,DELTA,STA,TIME,IPHASE,AZIMUTH,DELTIM,DELAZ,JDATE,STA_LAT,STA_LON,STATYPE,ONDATE,OFFDATE,TIMEDEF,ATIME,OTIME
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088640,P,67.395241,KBZ,2010-05-15 09:31:31.300000000,Sx,235.9986,0.65272628,0.029139331,2010135,43.7269,42.8996,ss,2008282.0,2286324.0,d,1273915891.3,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59090108,Pn,7.5688543,SEY,2010-05-15 09:22:26.400000000,Pn,151.97335,0.74771332,13.15989,2010135,62.9328,152.3822,ss,2006332.0,2286324.0,d,1273915346.4,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59090761,P,29.86259,INK,2010-05-15 09:26:43.100000000,P,300.1855,0.42816699,8.2414439,2010135,68.3067,-133.52,ss,1993001.0,2286324.0,d,1273915603.1,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59090900,P,46.812712,KURK,2010-05-15 09:29:05.324999936,P,53.348317,0.12,1.5871823,2010135,50.62264,78.53039,ar,2007319.0,2286324.0,d,1273915745.324999,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59092054,P,48.874064,BVAR,2010-05-15 09:29:21.361999872,P,51.892423,0.23858164,14.417199,2010135,53.02492,70.38853,ar,2002187.0,2286324.0,d,1273915761.361999,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59132046,P,80.374755,WRA,2010-05-15 09:32:46.110779904,P,18.210226,0.551768,3.271596,2010135,-19.9426,134.3395,ar,1999182.0,2286324.0,d,1273915966.110779,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59132047,P,30.117411,KSRS,2010-05-15 09:26:46.900790016,P,46.15802,0.551768,7.733603,2010135,37.44209,127.88452,ar,2002017.0,2286324.0,d,1273915606.90079,1273915234.28894
6332949,-28.866282,61.947408,0.0,2010-05-15 09:20:50.231079936,6328312,4.0352371,-999.0,-999.0,59088219,P,77.521197,MKAR,2010-05-15 09:32:46.349999872,P,215.13419,0.90746636,31.77198,2010135,46.79368,82.29057,ar,2000092.0,2286324.0,d,1273915966.349999,1273915250.231079
6332949,-28.866282,61.947408,0.0,2010-05-15 09:20:50.231079936,6328312,4.0352371,-999.0,-999.0,59088234,P,59.082737,CMAR,2010-05-15 09:30:52.517040128,N,225.0,0.86751661,13.670344,2010135,18.4576,98.94315,ar,1986198.0,2286324.0,d,1273915852.51704,1273915250.231079
6332949,-28.866282,61.947408,0.0,2010-05-15 09:20:50.231079936,6328312,4.0352371,-999.0,-999.0,59088253,P,63.846561,ASAR,2010-05-15 09:31:25.000000000,P,244.67144,0.22634722,2.5403342,2010135,-23.66513,133.90526,ar,2005165.0,2286324.0,d,1273915885.0,1273915250.231079
6332949,-28.866282,61.947408,0.0,2010-05-15 09:20:50.231079936,6328312,4.0352371,-999.0,-999.0,59088263,P,71.615725,TORD,2010-05-15 09:32:13.900000000,P,114.12497,0.77033075,32.552103,2010135,13.14771,1.69471,ar,2005270.0,2286324.0,d,1273915933.9,1273915250.231079
6332949,-28.866282,61.947408,0.0,2010-05-15 09:20:50.231079936,6328312,4.0352371,-999.0,-999.0,59088265,P,84.818699,ZALV,2010-05-15 09:33:26.750000128,P,188.53077,0.64582192,18.445168,2010135,53.94805,84.81878,ar,2006286.0,2286324.0,d,1273916006.75,1273915250.231079
6332949,-28.866282,61.947408,0.0,2010-05-15 09:20:50.231079936,6328312,4.0352371,-999.0,-999.0,59088308,P,65.640839,WRA,2010-05-15 09:31:36.624999936,P,248.31069,0.63490577,2.0678548,2010135,-19.9426,134.3395,ar,1999182.0,2286324.0,d,1273915896.624999,1273915250.231079
6332949,-28.866282,61.947408,0.0,2010-05-15 09:20:50.231079936,6328312,4.0352371,-999.0,-999.0,59090778,P,61.287389,QSPA,2010-05-15 09:31:07.098000128,P,89.626699,0.12,180.0,2010135,-89.9279,145.0,ss,2002363.0,2286324.0,d,1273915867.098,1273915250.231079
6332952,3.2588563,125.98607,62.705309,2010-05-15 09:29:18.072519936,6328373,3.6389804,3.1963425,3.8019076,59088216,P,37.961014,STKA,2010-05-15 09:36:30.549999872,tx,334.18051,0.45648837,26.243115,2010135,-31.8743,141.5964,ss,2002337.0,2015034.0,d,1273916190.549999,1273915758.072519
6332952,3.2588563,125.98607,62.705309,2010-05-15 09:29:18.072519936,6328373,3.6389804,3.1963425,3.8019076,59088257,P,27.851425,ASAR,2010-05-15 09:35:01.800000000,P,340.93161,0.12,2.4331692,2010135,-23.66513,133.90526,ar,2005165.0,2286324.0,d,1273916101.8,1273915758.072519
6332952,3.2588563,125.98607,62.705309,2010-05-15 09:29:18.072519936,6328373,3.6389804,3.1963425,3.8019076,59088264,P,41.114636,USRK,2010-05-15 09:36:54.974999808,P,204.56769,0.58292882,18.402044,2010135,44.1998,131.9888,ar,2008287.0,2286324.0,d,1273916214.974999,1273915758.072519
6332952,3.2588563,125.98607,62.705309,2010-05-15 09:29:18.072519936,6328373,3.6389804,3.1963425,3.8019076,59088297,P,56.144305,PETK,2010-05-15 09:38:51.275000064,P,219.15666,0.8695929,33.978887,2010135,53.10822,157.69885,ar,2006291.0,2286324.0,d,1273916331.275,1273915758.072519
6332952,3.2588563,125.98607,62.705309,2010-05-15 09:29:18.072519936,6328373,3.6389804,3.1963425,3.8019076,59088311,P,24.47342,WRA,2010-05-15 09:34:30.635420160,P,334.39624,0.12,0.81547306,2010135,-19.9426,134.3395,ar,1999182.0,2286324.0,d,1273916070.63542,1273915758.072519
6332952,3.2588563,125.98607,62.705309,2010-05-15 09:29:18.072519936,6328373,3.6389804,3.1963425,3.8019076,59090783,P,6.6833718,SIJI,2010-05-15 09:30:53.924999936,Sx,336.03751,0.67644374,32.012855,2010135,-0.86912,131.26605,ss,2010088.0,2286324.0,d,1273915853.924999,1273915758.072519
6332952,3.2588563,125.98607,62.705309,2010-05-15 09:29:18.072519936,6328373,3.6389804,3.1963425,3.8019076,59132141,P,47.510299,SONM,2010-05-15 09:37:47.836150016,P,152.30053,0.551768,34.393445,2010135,47.83469,106.39499,ar,2000245.0,2286324.0,d,1273916267.83615,1273915758.072519
6332952,3.2588563,125.98607,62.705309,2010-05-15 09:29:18.072519936,6328373,3.6389804,3.1963425,3.8019076,59132142,P,34.981341,MJAR,2010-05-15 09:36:04.429390080,P,196.70992,0.551768,7.184309,2010135,36.52472,138.24718,ar,2005060.0,2286324.0,d,1273916164.42939,1273915758.072519
